CNPJ,preco,cliente,UF,cidade,bairro
18919502000186,1488.6499999999996,REINAR COMERCIO DE ALIMENTOS EIRELI,RJ,NOVA FRIBURGO,CENTRO
27285030000229,1494.7800000000004,MARIA JOSE MAIN LUCAS,ES,COLATINA,CENTRO
334392000206,1511.6399999999999,MERCADO REAL DE NOVA CAMPINAS LTDA - ME,RJ,DUQUE DE CAXIAS,NOVA CAMPINAS
21476954000145,1511.79,MERCADO MUNDIAL DE MAGE EIRELI,RJ,MAGE,PIABETA (INHOMIRIM)
3925746000102,1513.65,QUEM VEM EM MURY GAMA SUPERMERCADO LTDA.,RJ,NOVA FRIBURGO,MURY
3182724000191,1550.8400000000001,NF-E EMITIDA EM AMBIENTE DE HOMOLOGACAO - SEM VALOR FISCAL,RJ,RIO DAS OSTRAS,LIBERDADE
17347555000107,1581.0700000000002,MARCOS E MARCOS SUPERMERCADO LTDA-ME,RJ,MACAE,LAGOA
8605654000150,1590.07,OLA OFERTAS COMERCIO VAREJISTA DE ALIMENTOS LTDA,RJ,MARICA,ITAPEBA
11885963000136,1590.07,OLA OFERTAS MERCEARIA DE MARICA LTDA,RJ,MARICA,PARQUE ELDORADO
24360959000104,1642.3099999999995,CASTELO RODRIGUES ACO E MERCE EIRELI,RJ,MACAE,PQ AEROPORTO
4157214000127,1648.4099999999992,EL SHADAY MERCADO  ACOUGUE E RESTAURANTE LTDA - ME.,RJ,CABO FRIO,SAO CRISTOVAO
17216750000106,1653.73,BOM PRECO DA GUARANI LTDA ME,RJ,MAGE,INHOMIRIM ( PIABETA )
28769373000140,1655.3900000000003,DELICIAS CANDY ATACADISTA DE ALIMENTOS EIRELI,RJ,MARICA,INOA
22753943000128,1661.4099999999994,MV MERCEARIA E CONFEITARIA LTDA - ME.,RJ,BELFORD ROXO,VILA LUZ
27909336000128,1680.2300000000007,KE FRUTAS ALIMENTOS SUPERMERCADOS LTDA - ME,RJ,SAO PEDRO DA ALDEIA,CENTRO
29768702000282,1690.8299999999997,VERONE DISTRIBUIDORA LTDA - EPP,RJ,MAGE,VILA VELHA (SANTO ALEIXO)
8055326000128,1700.3700000000003,FILE DE JARDIM PRIMAVERA MERCEARIA LTDA,RJ,DUQUE DE CAXIAS,JARDIM PRIMAVERA/CAMPOS ELISEOS
26364805000108,1744.46,H PRATA DA SILVA - ME,ES,SAO MATEUS,GURIRI NORTE
31465263000108,1756.9,SUPERMERCADO PAIZANTE LTDA,ES,MANTENOPOLIS,CENTRO
68641935000190,1794.0299999999995,SACOLAO RAINHA DE HOTIFRUTIGRANJEIROS LTDA,RJ,MACAE,CENTRO
10536093000127,1828.98,CARVALHO CORREIA MERCADO E ACOUGUE LTDA,RJ,RIO DAS OSTRAS,ANCORA
11924197000171,1830.5400000000002,ACOUGUE CENTRAL DE CABUCU LTDA - ME,RJ,NOVA IGUACU,CABUCU
28891624000165,1839.9999999999998,A A DE AZEVEDO SILVEIRA COMERCIO VAREJISTA DE CARNES,RJ,QUEIMADOS,CENTRO
21916948000161,1848.6899999999998,ACOUGUE E MERCEARIA IRMAOS ALARCON LTDA,RJ,RIO DE JANEIRO,RICARDO DE ALBUQUERQUE
21380625000104,1860.4799999999996,SUPERMERCADO JAL EIRELI ME,RJ,ARARUAMA,ENGENHO VELHO
5494918000158,1874.7299999999998,MATA ATLANTICA MERCADO LTDA - EPP.,RJ,DUQUE DE CAXIAS,IMBARIE
42379339000190,1877.93,RESTAURANTE RANCHO VERDE LTDA,RJ,RIO DE JANEIRO,FREGUESIA
12803217000119,1892.4399999999996,MERCEARIA CENTRAL DO AMAPA LTDA - ME,RJ,DUQUE DE CAXIAS,AMAPA
13405890000163,1896.759999999999,THOMESKAMP HORTIFRUTI LTDA ME,RJ,CAMPOS DOS GOYTACAZES,PARUQE JOAO MARIA
16669198000130,1900.0,BS STASSI VENDAS ME,SP,ARACARIGUAMA,RONDA
7984769000130,1900.3400000000001,MERCADO HEXA E TAL COMERCIO DE ALIMENTOS LTDA ME,RJ,NITEROI,ENGENHOCA
8626481000157,1912.3599999999997,SUPERABRA REDE DISTRIBUIDORA DE ALIMENTOS LTDA - ME,RJ,CABO FRIO,UNAMAR
26301876000161,1913.6599999999999,AD BRASIL ACOUGUE LTDA - ME,RJ,NOVA IGUACU,COMENDADOR SOARES
27256168000119,1914.41,ACOUGUE MERCEARIA E ROTISSERIA SAO MIGUEL DO VILAR LTDA,RJ,SAO JOAO DE MERITI,VILAR DOS TELES
6323540000192,1927.95,SUPERMERCADO TRAJANENSE LTDA - ME,RJ,TRAJANO DE MORAIS,CENTRO
23387618000151,1928.1900000000003,TERE FRUIT HORTIFRUTIGRANJEIROS LTDA ME,RJ,TERESOPOLIS,VARZEA
19451763000187,1929.1299999999997,ARMAZEM IMPERIAL DE MANGARATIBA LTDA ME,RJ,MANGARATIBA,IBICUI
36332252000165,1938.0200000000011,AUTO SERVICO INTERNACIONAL LTDA.,ES,CARIACICA,PORTO DE SANTANA
13638717000105,1940.31,MERCADO 01 VITORIA LTDA ME.,RJ,MACAE,GRANJA DOS CAVALEIROS
10885723000179,1940.4600000000003,LUCCAS H DOS SANTOS MINIMERCADO EIRELI - EPP,RJ,NOVA FRIBURGO,NOVA SUICA
11032392000278,1946.4799999999996,LGE COMERCIO DE GENEROS ALIMENTICIOS LTDA.,RJ,NITEROI,ITAIPU
2674629000142,1976.1799999999996,MARIA JOSE PEREIRA RIBEIRO TRINDADE - ME,RJ,SAO JOAO DA BARRA,CENTRO
